idx,transition,tokenlight_ssim,tokenlight_psnr,tokenlight_lpips,scribblelight_ssim,scribblelight_psnr,scribblelight_lpips
17,ON,0.7680315375328064,20.65796661376953,0.2928347587585449,0.44397395849227905,15.678537368774414,0.597518801689148
18,ON,0.9599250555038452,24.08851432800293,0.22296908497810364,0.6056461334228516,14.562812805175781,0.6887658834457397
19,ON,0.7851203680038452,17.3955135345459,0.3601388931274414,0.4591944217681885,14.621819496154785,0.6110432147979736
20,ON,0.9036394953727722,20.711856842041016,0.12331944704055786,0.5580981969833374,13.88111686706543,0.5571039319038391
21,OFF,0.8772859573364258,20.464601516723633,0.2994081377983093,0.4578138589859009,12.036382675170898,0.6929391026496887
22,OFF,0.9768567085266113,29.948427200317383,0.17617595195770264,0.5897101759910583,18.89755630493164,0.6076456904411316
23,OFF,0.832005500793457,19.201431274414062,0.46511679887771606,0.5317077040672302,13.421773910522461,0.6770520210266113
24,ON,0.8907152414321899,18.834901809692383,0.2166493684053421,0.6664731502532959,14.977062225341797,0.5276057720184326
25,ON,0.7471822500228882,17.866870880126953,0.2947317361831665,0.3968007564544678,14.554702758789062,0.5802657008171082
26,ON,0.8855955004692078,20.380802154541016,0.1943037211894989,0.609336793422699,15.198506355285645,0.5496030449867249
27,ON,0.8913130760192871,21.311412811279297,0.22895285487174988,0.5887486934661865,14.455141067504883,0.6566076278686523
28,OFF,0.8271941542625427,20.234506607055664,0.3120669722557068,0.3153481185436249,11.950990676879883,0.6296774744987488
29,OFF,0.709896445274353,17.778879165649414,0.2727877199649811,0.36776065826416016,13.383578300476074,0.5867735147476196
30,OFF,0.8134295344352722,17.516345977783203,0.4069729447364807,0.5457622408866882,13.480563163757324,0.6459232568740845
31,OFF,0.8347480297088623,18.82175064086914,0.4784157872200012,0.42387470602989197,12.111892700195312,0.676392674446106
32,ON,0.938193678855896,22.05779266357422,0.117832250893116,0.5106286406517029,16.6326847076416,0.4923114776611328
33,ON,0.7140916585922241,20.601022720336914,0.2710799276828766,0.29761093854904175,13.496194839477539,0.6142389178276062
34,ON,0.43938779830932617,15.201480865478516,0.5669634342193604,0.3562624156475067,14.808553695678711,0.6555478572845459
35,ON,0.7529467940330505,14.632158279418945,0.387742280960083,0.5437997579574585,13.475741386413574,0.6950973272323608
36,OFF,0.8739291429519653,19.212541580200195,0.24082908034324646,0.46529364585876465,15.415030479431152,0.5869929790496826
37,OFF,0.9105706214904785,23.214454650878906,0.2336004376411438,0.4911937117576599,13.855087280273438,0.5994464755058289
38,OFF,0.8466687202453613,18.305871963500977,0.3464547395706177,0.6337248682975769,16.55663299560547,0.6329168081283569
39,OFF,0.8245207071304321,17.06271743774414,0.48355790972709656,0.43414658308029175,10.532464027404785,0.7189242839813232
40,ON,0.8122922778129578,16.52117919921875,0.3155887722969055,0.5695825815200806,15.802085876464844,0.5648648142814636
41,ON,0.8933497667312622,21.151233673095703,0.22358207404613495,0.5952648520469666,17.318323135375977,0.5511525869369507
42,ON,0.8750209212303162,19.674419403076172,0.21738848090171814,0.5238038301467896,16.85114860534668,0.596933126449585
43,ON,0.8710180521011353,19.669239044189453,0.26312255859375,0.5925679206848145,13.404656410217285,0.6206735372543335
44,OFF,0.8488917350769043,21.22051429748535,0.18792283535003662,0.49843916296958923,14.715415000915527,0.5727420449256897
45,OFF,0.680370032787323,14.989267349243164,0.3903930187225342,0.46797987818717957,14.579645156860352,0.6279249787330627
46,OFF,0.9854008555412292,32.274871826171875,0.31477290391921997,0.5866000056266785,14.032496452331543,0.6115603446960449
47,OFF,0.836586594581604,19.228254318237305,0.33384278416633606,0.4126313626766205,12.455550193786621,0.6845468282699585
48,ON,0.7785600423812866,15.392663955688477,0.1718248426914215,0.5857282876968384,17.925914764404297,0.4708021283149719
49,ON,0.8898905515670776,20.376148223876953,0.23222003877162933,0.5477868318557739,16.458267211914062,0.5408708453178406
50,ON,0.8835806846618652,21.681270599365234,0.21212849020957947,0.5346869230270386,16.946155548095703,0.5824592113494873
51,ON,0.8655627965927124,17.045846939086914,0.29690343141555786,0.5542876124382019,14.640549659729004,0.6708565950393677
52,OFF,0.9715263247489929,26.577228546142578,0.22099195420742035,0.7030131816864014,15.730779647827148,0.4938189387321472
53,OFF,0.6371959447860718,13.387163162231445,0.42385929822921753,0.3305399417877197,12.976612091064453,0.6440187692642212
54,OFF,0.9685345888137817,25.021074295043945,0.18778902292251587,0.5693155527114868,13.472982406616211,0.559152364730835
55,OFF,0.9033881425857544,21.11273193359375,0.23887041211128235,0.6640094518661499,16.57151985168457,0.6106046438217163
56,ON,0.8794071078300476,18.47457504272461,0.2226572185754776,0.5806886553764343,14.610475540161133,0.5750710964202881
57,ON,0.9251031875610352,22.596088409423828,0.1943579465150833,0.4996451735496521,14.906463623046875,0.6112520694732666
58,ON,0.8734760284423828,17.41965103149414,0.19544851779937744,0.509283721446991,12.87901782989502,0.6385373473167419
59,ON,0.8309642672538757,16.92881202697754,0.2809397280216217,0.5289787650108337,15.020228385925293,0.6638696193695068
60,OFF,0.9748044013977051,27.468425750732422,0.08284729719161987,0.4822232127189636,16.183042526245117,0.4955090582370758
61,OFF,0.6475983262062073,18.74689292907715,0.29300206899642944,0.3284696340560913,14.557398796081543,0.5856682658195496
62,OFF,0.482011079788208,19.06035614013672,0.5626646876335144,0.3413107395172119,15.042545318603516,0.6568069458007812
63,OFF,0.8241917490959167,15.923447608947754,0.3362157344818115,0.651451051235199,14.670900344848633,0.6525660753250122
64,ON,0.8549306392669678,19.650596618652344,0.2406262308359146,0.4985128343105316,15.484871864318848,0.6566983461380005
65,ON,0.8989076614379883,21.209529876708984,0.1777544915676117,0.5124553442001343,16.632030487060547,0.5436246395111084
66,ON,0.8370513916015625,16.475238800048828,0.22355219721794128,0.5090133547782898,12.841083526611328,0.6150878667831421
67,ON,0.7854480147361755,17.42866325378418,0.41486799716949463,0.44440123438835144,15.236001968383789,0.6196452975273132
68,OFF,0.7149813175201416,15.482664108276367,0.4055700898170471,0.5309677124023438,16.77947998046875,0.570332407951355
69,OFF,0.9073848128318787,21.981403350830078,0.23228946328163147,0.5455188155174255,14.720149040222168,0.6170425415039062
70,OFF,0.9420851469039917,27.07828712463379,0.2123514860868454,0.47018933296203613,16.307762145996094,0.5681666135787964
71,OFF,0.8589572310447693,19.798391342163086,0.3452223837375641,0.5857144594192505,15.501823425292969,0.6571594476699829
72,ON,0.8239292502403259,14.754053115844727,0.3043142259120941,0.6188725829124451,12.758866310119629,0.6456609964370728
73,ON,0.8616793155670166,22.15589141845703,0.2259196639060974,0.4631067216396332,17.04642105102539,0.5715121626853943
74,ON,0.7669023275375366,16.203235626220703,0.31342923641204834,0.4723357558250427,12.908258438110352,0.6376710534095764
75,ON,0.8097571134567261,21.28912925720215,0.3200792670249939,0.4155014157295227,13.227591514587402,0.6145714521408081
76,OFF,0.8868473768234253,23.88718032836914,0.1935737431049347,0.5514850616455078,15.464056015014648,0.48988237977027893
77,OFF,0.8384147882461548,17.56856346130371,0.28231292963027954,0.4433053731918335,13.178483963012695,0.6486108303070068
78,OFF,0.8510482311248779,17.861421585083008,0.27753394842147827,0.4401150643825531,15.626534461975098,0.5883674025535583
79,OFF,0.8240820169448853,14.838882446289062,0.35884660482406616,0.5634362697601318,15.038105010986328,0.6468144059181213
80,ON,0.9169660806655884,21.054702758789062,0.14499112963676453,0.5760746002197266,15.200174331665039,0.503882884979248
81,ON,0.7467988729476929,16.69874382019043,0.3387422561645508,0.5126971006393433,14.87669849395752,0.600257396697998
82,ON,0.7447127103805542,17.248308181762695,0.33990925550460815,0.47837015986442566,13.962465286254883,0.6208319664001465
83,ON,0.9390188455581665,22.943359375,0.23996025323867798,0.6312100887298584,13.21183967590332,0.5663815140724182
84,OFF,0.9404083490371704,23.487457275390625,0.22105786204338074,0.5540220737457275,16.07544708251953,0.5809333920478821
85,OFF,0.9141181707382202,23.504972457885742,0.2924193739891052,0.39763638377189636,12.875484466552734,0.6414464712142944
86,OFF,0.8923847079277039,19.79553985595703,0.23715737462043762,0.5228356122970581,14.630815505981445,0.6731171607971191
87,OFF,0.8658716082572937,18.874217987060547,0.3341245651245117,0.5584542155265808,14.565353393554688,0.6368231177330017
88,ON,0.8323635458946228,16.157569885253906,0.2256632149219513,0.594855546951294,16.059383392333984,0.5732088088989258
89,ON,0.9345002174377441,25.341716766357422,0.17825137078762054,0.7129084467887878,18.74787139892578,0.48783519864082336
90,ON,0.8221168518066406,19.267051696777344,0.30568063259124756,0.485473096370697,13.916627883911133,0.6851918697357178
91,ON,0.7716922760009766,17.236207962036133,0.31023746728897095,0.3662857413291931,11.867083549499512,0.6685366630554199
92,OFF,0.9627038240432739,28.50314712524414,0.1513352245092392,0.5190905928611755,15.57271957397461,0.6441483497619629
93,OFF,0.8981797099113464,21.521888732910156,0.20391622185707092,0.47264379262924194,14.185223579406738,0.5410175323486328
94,OFF,0.8680475950241089,19.643253326416016,0.24514010548591614,0.5476275682449341,15.218021392822266,0.6505025029182434
95,OFF,0.9009599089622498,24.912729263305664,0.28323227167129517,0.41607865691185,15.609875679016113,0.6117642521858215
96,ON,0.8562960624694824,19.2685604095459,0.22421479225158691,0.5386292934417725,13.85901927947998,0.6038084626197815
97,ON,0.8935413360595703,23.828439712524414,0.21127885580062866,0.5745128393173218,14.3204345703125,0.5745266675949097
98,ON,0.7986054420471191,19.73342514038086,0.28690657019615173,0.42274922132492065,12.33488941192627,0.5927549600601196
99,ON,0.7836319804191589,18.79492950439453,0.3517676889896393,0.4743277430534363,12.503461837768555,0.6448829770088196
100,OFF,0.9658190608024597,24.192590713500977,0.19996240735054016,0.5879857540130615,12.899574279785156,0.604527473449707
101,OFF,0.9528624415397644,27.0596866607666,0.14043593406677246,0.3961969316005707,16.36693000793457,0.5847694873809814
102,OFF,0.9376153945922852,24.995864868164062,0.19319716095924377,0.41540277004241943,10.793156623840332,0.7146135568618774
103,OFF,0.7352137565612793,16.501693725585938,0.39549165964126587,0.425739586353302,13.233942985534668,0.6778866052627563
104,ON,0.8482763767242432,19.52263069152832,0.23393097519874573,0.6689955592155457,14.351693153381348,0.5348702073097229
105,ON,0.7215290069580078,14.5750732421875,0.39316362142562866,0.51326584815979,15.781110763549805,0.6417205333709717
106,ON,0.8131711483001709,19.286962509155273,0.246244877576828,0.4564150273799896,14.52385139465332,0.5919076204299927
107,ON,0.9539687037467957,21.661712646484375,0.10542817413806915,0.7037686705589294,15.657458305358887,0.4546264410018921
108,OFF,0.955615222454071,24.379886627197266,0.1320514976978302,0.6046643257141113,15.783419609069824,0.5365917086601257
109,OFF,0.8533489108085632,18.02625274658203,0.3535757064819336,0.3679637312889099,9.82508659362793,0.6432103514671326
110,OFF,0.8144303560256958,18.2507381439209,0.3848955035209656,0.45615464448928833,11.787210464477539,0.7095166444778442
111,OFF,0.9580788016319275,23.244173049926758,0.1982942521572113,0.6286542415618896,12.65567684173584,0.6536540985107422
112,ON,0.847895622253418,21.190786361694336,0.2479741871356964,0.6220487952232361,14.491641998291016,0.5802589654922485
113,ON,0.8005520701408386,18.520301818847656,0.3869798183441162,0.5734598636627197,16.888792037963867,0.6483513116836548
114,ON,0.9080886840820312,20.926305770874023,0.19558943808078766,0.6890019178390503,15.68177318572998,0.5625158548355103
115,ON,0.8829497694969177,19.382503509521484,0.23896586894989014,0.4852519631385803,12.484040260314941,0.5812411904335022
116,OFF,0.9633634090423584,24.35525131225586,0.19523346424102783,0.5840567350387573,14.985494613647461,0.5287823677062988
117,OFF,0.9110416173934937,21.58306312561035,0.37646281719207764,0.5874518156051636,15.584412574768066,0.6199856996536255
118,OFF,0.8769718408584595,18.745723724365234,0.3251477777957916,0.5330567359924316,16.22263526916504,0.6634194850921631
119,OFF,0.7665184736251831,19.248315811157227,0.33352720737457275,0.3634096086025238,11.659279823303223,0.6975687146186829
120,ON,0.8841605186462402,22.64315414428711,0.2799464166164398,0.4691411852836609,13.26419448852539,0.6364599466323853
121,ON,0.8341453075408936,19.878061294555664,0.2892135977745056,0.588650107383728,18.56686019897461,0.5925801992416382
122,ON,0.8567158579826355,21.409700393676758,0.40158742666244507,0.5071341395378113,12.381243705749512,0.6860901117324829
123,ON,0.7916851043701172,18.241891860961914,0.28318965435028076,0.44912633299827576,12.653919219970703,0.665917694568634
124,OFF,0.9475952386856079,22.954702377319336,0.23546072840690613,0.6155690550804138,16.43505859375,0.548505961894989
125,OFF,0.8794568777084351,20.78817367553711,0.31137266755104065,0.5864465236663818,15.81480884552002,0.6136327981948853
126,OFF,0.7543236613273621,16.827903747558594,0.3267882764339447,0.44189175963401794,13.976544380187988,0.6119405031204224
127,OFF,0.6682915091514587,14.32850456237793,0.40361857414245605,0.5643743872642517,15.12505054473877,0.6816002130508423
