idx,transition,original_width,original_height,input_png,output_png,mask_png,original_dng,exr_1,exr_2,tokenlight_png,scribblelight_png
10,ON,8064,6048,Input/IMG_CS1_4935_IMG_CS1_4934_input0.png,Output/IMG_CS1_4935_IMG_CS1_4934.png,Masks/IMG_CS1_4934.png,Originals/IMG_CS1_4935.DNG,Exrs/IMG_CS1_4935.exr,Exrs/IMG_CS1_4934.exr,TokenLight/IMG_CS1_4935_IMG_CS1_4934.png,ScribbleLight/IMG_CS1_4935_IMG_CS1_4934.png
11,ON,4032,3024,Input/IMG_CS2_5108_IMG_CS2_5107_input0.png,Output/IMG_CS2_5108_IMG_CS2_5107.png,Masks/IMG_CS2_5107.png,Originals/IMG_CS2_5108.DNG,Exrs/IMG_CS2_5108.exr,Exrs/IMG_CS2_5107.exr,TokenLight/IMG_CS2_5108_IMG_CS2_5107.png,ScribbleLight/IMG_CS2_5108_IMG_CS2_5107.png
12,ON,4032,3024,Input/IMG_CS2_5124_IMG_CS2_5125_input0.png,Output/IMG_CS2_5124_IMG_CS2_5125.png,Masks/IMG_CS2_5125.png,Originals/IMG_CS2_5124.DNG,Exrs/IMG_CS2_5124.exr,Exrs/IMG_CS2_5125.exr,TokenLight/IMG_CS2_5124_IMG_CS2_5125.png,ScribbleLight/IMG_CS2_5124_IMG_CS2_5125.png
13,OFF,6048,8064,Input/IMG_CS1_4978_IMG_CS1_4979_input0.png,Output/IMG_CS1_4978_IMG_CS1_4979.png,Masks/IMG_CS1_4978.png,Originals/IMG_CS1_4978.DNG,Exrs/IMG_CS1_4978.exr,Exrs/IMG_CS1_4979.exr,TokenLight/IMG_CS1_4978_IMG_CS1_4979.png,ScribbleLight/IMG_CS1_4978_IMG_CS1_4979.png
14,OFF,3024,4032,Input/IMG_CS1_4966_IMG_CS1_4968_input0.png,Output/IMG_CS1_4966_IMG_CS1_4968.png,Masks/IMG_CS1_4966.png,Originals/IMG_CS1_4966.DNG,Exrs/IMG_CS1_4966.exr,Exrs/IMG_CS1_4968.exr,TokenLight/IMG_CS1_4966_IMG_CS1_4968.png,ScribbleLight/IMG_CS1_4966_IMG_CS1_4968.png
15,OFF,4032,3024,Input/IMG_CS2_5101_IMG_CS2_5102_input0.png,Output/IMG_CS2_5101_IMG_CS2_5102.png,Masks/IMG_CS2_5101.png,Originals/IMG_CS2_5101.DNG,Exrs/IMG_CS2_5101.exr,Exrs/IMG_CS2_5102.exr,TokenLight/IMG_CS2_5101_IMG_CS2_5102.png,ScribbleLight/IMG_CS2_5101_IMG_CS2_5102.png
16,ON,8064,6048,Input/IMG_CS1_5002_IMG_CS1_5003_input0.png,Output/IMG_CS1_5002_IMG_CS1_5003.png,Masks/IMG_CS1_5003.png,Originals/IMG_CS1_5002.DNG,Exrs/IMG_CS1_5002.exr,Exrs/IMG_CS1_5003.exr,TokenLight/IMG_CS1_5002_IMG_CS1_5003.png,ScribbleLight/IMG_CS1_5002_IMG_CS1_5003.png
17,ON,4032,3024,Input/IMG_CS1_5010_IMG_CS1_5011_input0.png,Output/IMG_CS1_5010_IMG_CS1_5011.png,Masks/IMG_CS1_5011.png,Originals/IMG_CS1_5010.DNG,Exrs/IMG_CS1_5010.exr,Exrs/IMG_CS1_5011.exr,TokenLight/IMG_CS1_5010_IMG_CS1_5011.png,ScribbleLight/IMG_CS1_5010_IMG_CS1_5011.png
18,ON,4032,3024,Input/IMG_CS1_4938_IMG_CS1_4939_input0.png,Output/IMG_CS1_4938_IMG_CS1_4939.png,Masks/IMG_CS1_4939.png,Originals/IMG_CS1_4938.DNG,Exrs/IMG_CS1_4938.exr,Exrs/IMG_CS1_4939.exr,TokenLight/IMG_CS1_4938_IMG_CS1_4939.png,ScribbleLight/IMG_CS1_4938_IMG_CS1_4939.png
19,ON,4032,3024,Input/IMG_CS2_5110_IMG_CS2_5109_input0.png,Output/IMG_CS2_5110_IMG_CS2_5109.png,Masks/IMG_CS2_5109.png,Originals/IMG_CS2_5110.DNG,Exrs/IMG_CS2_5110.exr,Exrs/IMG_CS2_5109.exr,TokenLight/IMG_CS2_5110_IMG_CS2_5109.png,ScribbleLight/IMG_CS2_5110_IMG_CS2_5109.png
20,ON,8064,6048,Input/IMG_CS2_5122_IMG_CS2_5123_input0.png,Output/IMG_CS2_5122_IMG_CS2_5123.png,Masks/IMG_CS2_5123.png,Originals/IMG_CS2_5122.DNG,Exrs/IMG_CS2_5122.exr,Exrs/IMG_CS2_5123.exr,TokenLight/IMG_CS2_5122_IMG_CS2_5123.png,ScribbleLight/IMG_CS2_5122_IMG_CS2_5123.png
21,OFF,8064,6048,Input/IMG_CS1_4993_IMG_CS1_4995_input0.png,Output/IMG_CS1_4993_IMG_CS1_4995.png,Masks/IMG_CS1_4993.png,Originals/IMG_CS1_4993.DNG,Exrs/IMG_CS1_4993.exr,Exrs/IMG_CS1_4995.exr,TokenLight/IMG_CS1_4993_IMG_CS1_4995.png,ScribbleLight/IMG_CS1_4993_IMG_CS1_4995.png
22,OFF,3024,4032,Input/IMG_CS1_4967_IMG_CS1_4968_input0.png,Output/IMG_CS1_4967_IMG_CS1_4968.png,Masks/IMG_CS1_4967.png,Originals/IMG_CS1_4967.DNG,Exrs/IMG_CS1_4967.exr,Exrs/IMG_CS1_4968.exr,TokenLight/IMG_CS1_4967_IMG_CS1_4968.png,ScribbleLight/IMG_CS1_4967_IMG_CS1_4968.png
23,OFF,8064,6048,Input/IMG_CS2_5105_IMG_CS2_5108_input0.png,Output/IMG_CS2_5105_IMG_CS2_5108.png,Masks/IMG_CS2_5105.png,Originals/IMG_CS2_5105.DNG,Exrs/IMG_CS2_5105.exr,Exrs/IMG_CS2_5108.exr,TokenLight/IMG_CS2_5105_IMG_CS2_5108.png,ScribbleLight/IMG_CS2_5105_IMG_CS2_5108.png
24,ON,8064,6048,Input/IMG_CS1_4958_IMG_CS1_4957_input0.png,Output/IMG_CS1_4958_IMG_CS1_4957.png,Masks/IMG_CS1_4957.png,Originals/IMG_CS1_4958.DNG,Exrs/IMG_CS1_4958.exr,Exrs/IMG_CS1_4957.exr,TokenLight/IMG_CS1_4958_IMG_CS1_4957.png,ScribbleLight/IMG_CS1_4958_IMG_CS1_4957.png
25,ON,4032,3024,Input/IMG_CS1_5010_IMG_CS1_5012_input0.png,Output/IMG_CS1_5010_IMG_CS1_5012.png,Masks/IMG_CS1_5012.png,Originals/IMG_CS1_5010.DNG,Exrs/IMG_CS1_5010.exr,Exrs/IMG_CS1_5012.exr,TokenLight/IMG_CS1_5010_IMG_CS1_5012.png,ScribbleLight/IMG_CS1_5010_IMG_CS1_5012.png
26,ON,8064,6048,Input/IMG_CS1_4946_IMG_CS1_4947_input0.png,Output/IMG_CS1_4946_IMG_CS1_4947.png,Masks/IMG_CS1_4947.png,Originals/IMG_CS1_4946.DNG,Exrs/IMG_CS1_4946.exr,Exrs/IMG_CS1_4947.exr,TokenLight/IMG_CS1_4946_IMG_CS1_4947.png,ScribbleLight/IMG_CS1_4946_IMG_CS1_4947.png
27,ON,4032,3024,Input/IMG_CS2_5111_IMG_CS2_5112_input0.png,Output/IMG_CS2_5111_IMG_CS2_5112.png,Masks/IMG_CS2_5112.png,Originals/IMG_CS2_5111.DNG,Exrs/IMG_CS2_5111.exr,Exrs/IMG_CS2_5112.exr,TokenLight/IMG_CS2_5111_IMG_CS2_5112.png,ScribbleLight/IMG_CS2_5111_IMG_CS2_5112.png
28,OFF,8064,6048,Input/IMG_CS1_5017_IMG_CS1_5018_input0.png,Output/IMG_CS1_5017_IMG_CS1_5018.png,Masks/IMG_CS1_5017.png,Originals/IMG_CS1_5017.DNG,Exrs/IMG_CS1_5017.exr,Exrs/IMG_CS1_5018.exr,TokenLight/IMG_CS1_5017_IMG_CS1_5018.png,ScribbleLight/IMG_CS1_5017_IMG_CS1_5018.png
29,OFF,8064,6048,Input/IMG_CS1_4996_IMG_CS1_4997_input0.png,Output/IMG_CS1_4996_IMG_CS1_4997.png,Masks/IMG_CS1_4996.png,Originals/IMG_CS1_4996.DNG,Exrs/IMG_CS1_4996.exr,Exrs/IMG_CS1_4997.exr,TokenLight/IMG_CS1_4996_IMG_CS1_4997.png,ScribbleLight/IMG_CS1_4996_IMG_CS1_4997.png
30,OFF,4032,3024,Input/IMG_CS1_4943_IMG_CS1_4944_input0.png,Output/IMG_CS1_4943_IMG_CS1_4944.png,Masks/IMG_CS1_4943.png,Originals/IMG_CS1_4943.DNG,Exrs/IMG_CS1_4943.exr,Exrs/IMG_CS1_4944.exr,TokenLight/IMG_CS1_4943_IMG_CS1_4944.png,ScribbleLight/IMG_CS1_4943_IMG_CS1_4944.png
31,OFF,8064,6048,Input/IMG_CS2_5106_IMG_CS2_5108_input0.png,Output/IMG_CS2_5106_IMG_CS2_5108.png,Masks/IMG_CS2_5106.png,Originals/IMG_CS2_5106.DNG,Exrs/IMG_CS2_5106.exr,Exrs/IMG_CS2_5108.exr,TokenLight/IMG_CS2_5106_IMG_CS2_5108.png,ScribbleLight/IMG_CS2_5106_IMG_CS2_5108.png
32,ON,8064,6048,Input/IMG_CS1_4974_IMG_CS1_4975_input0.png,Output/IMG_CS1_4974_IMG_CS1_4975.png,Masks/IMG_CS1_4975.png,Originals/IMG_CS1_4974.DNG,Exrs/IMG_CS1_4974.exr,Exrs/IMG_CS1_4975.exr,TokenLight/IMG_CS1_4974_IMG_CS1_4975.png,ScribbleLight/IMG_CS1_4974_IMG_CS1_4975.png
33,ON,6048,8064,Input/IMG_CS1_5016_IMG_CS1_5015_input0.png,Output/IMG_CS1_5016_IMG_CS1_5015.png,Masks/IMG_CS1_5015.png,Originals/IMG_CS1_5016.DNG,Exrs/IMG_CS1_5016.exr,Exrs/IMG_CS1_5015.exr,TokenLight/IMG_CS1_5016_IMG_CS1_5015.png,ScribbleLight/IMG_CS1_5016_IMG_CS1_5015.png
34,ON,3024,4032,Input/IMG_CS1_4990_IMG_CS1_4988_input0.png,Output/IMG_CS1_4990_IMG_CS1_4988.png,Masks/IMG_CS1_4988.png,Originals/IMG_CS1_4990.DNG,Exrs/IMG_CS1_4990.exr,Exrs/IMG_CS1_4988.exr,TokenLight/IMG_CS1_4990_IMG_CS1_4988.png,ScribbleLight/IMG_CS1_4990_IMG_CS1_4988.png
35,ON,4032,3024,Input/IMG_CS2_5114_IMG_CS2_5113_input0.png,Output/IMG_CS2_5114_IMG_CS2_5113.png,Masks/IMG_CS2_5113.png,Originals/IMG_CS2_5114.DNG,Exrs/IMG_CS2_5114.exr,Exrs/IMG_CS2_5113.exr,TokenLight/IMG_CS2_5114_IMG_CS2_5113.png,ScribbleLight/IMG_CS2_5114_IMG_CS2_5113.png
36,OFF,8064,6048,Input/IMG_CS1_5014_IMG_CS1_5013_input0.png,Output/IMG_CS1_5014_IMG_CS1_5013.png,Masks/IMG_CS1_5014.png,Originals/IMG_CS1_5014.DNG,Exrs/IMG_CS1_5014.exr,Exrs/IMG_CS1_5013.exr,TokenLight/IMG_CS1_5014_IMG_CS1_5013.png,ScribbleLight/IMG_CS1_5014_IMG_CS1_5013.png
37,OFF,8064,6048,Input/IMG_CS1_4999_IMG_CS1_5001_input0.png,Output/IMG_CS1_4999_IMG_CS1_5001.png,Masks/IMG_CS1_4999.png,Originals/IMG_CS1_4999.DNG,Exrs/IMG_CS1_4999.exr,Exrs/IMG_CS1_5001.exr,TokenLight/IMG_CS1_4999_IMG_CS1_5001.png,ScribbleLight/IMG_CS1_4999_IMG_CS1_5001.png
38,OFF,8064,6048,Input/IMG_CS1_4934_IMG_CS1_4935_input0.png,Output/IMG_CS1_4934_IMG_CS1_4935.png,Masks/IMG_CS1_4934.png,Originals/IMG_CS1_4934.DNG,Exrs/IMG_CS1_4934.exr,Exrs/IMG_CS1_4935.exr,TokenLight/IMG_CS1_4934_IMG_CS1_4935.png,ScribbleLight/IMG_CS1_4934_IMG_CS1_4935.png
39,OFF,8064,6048,Input/IMG_CS2_5107_IMG_CS2_5108_input0.png,Output/IMG_CS2_5107_IMG_CS2_5108.png,Masks/IMG_CS2_5107.png,Originals/IMG_CS2_5107.DNG,Exrs/IMG_CS2_5107.exr,Exrs/IMG_CS2_5108.exr,TokenLight/IMG_CS2_5107_IMG_CS2_5108.png,ScribbleLight/IMG_CS2_5107_IMG_CS2_5108.png
40,ON,8064,6048,Input/IMG_CS1_4970_IMG_CS1_4969_input0.png,Output/IMG_CS1_4970_IMG_CS1_4969.png,Masks/IMG_CS1_4969.png,Originals/IMG_CS1_4970.DNG,Exrs/IMG_CS1_4970.exr,Exrs/IMG_CS1_4969.exr,TokenLight/IMG_CS1_4970_IMG_CS1_4969.png,ScribbleLight/IMG_CS1_4970_IMG_CS1_4969.png
41,ON,8064,6048,Input/IMG_CS1_5020_IMG_CS1_5019_input0.png,Output/IMG_CS1_5020_IMG_CS1_5019.png,Masks/IMG_CS1_5019.png,Originals/IMG_CS1_5020.DNG,Exrs/IMG_CS1_5020.exr,Exrs/IMG_CS1_5019.exr,TokenLight/IMG_CS1_5020_IMG_CS1_5019.png,ScribbleLight/IMG_CS1_5020_IMG_CS1_5019.png
42,ON,3024,4032,Input/IMG_CS1_4990_IMG_CS1_4991_input0.png,Output/IMG_CS1_4990_IMG_CS1_4991.png,Masks/IMG_CS1_4991.png,Originals/IMG_CS1_4990.DNG,Exrs/IMG_CS1_4990.exr,Exrs/IMG_CS1_4991.exr,TokenLight/IMG_CS1_4990_IMG_CS1_4991.png,ScribbleLight/IMG_CS1_4990_IMG_CS1_4991.png
43,ON,4032,3024,Input/IMG_CS2_5114_IMG_CS2_5115_input0.png,Output/IMG_CS2_5114_IMG_CS2_5115.png,Masks/IMG_CS2_5115.png,Originals/IMG_CS2_5114.DNG,Exrs/IMG_CS2_5114.exr,Exrs/IMG_CS2_5115.exr,TokenLight/IMG_CS2_5114_IMG_CS2_5115.png,ScribbleLight/IMG_CS2_5114_IMG_CS2_5115.png
44,OFF,8064,6048,Input/IMG_CS1_5003_IMG_CS1_5002_input0.png,Output/IMG_CS1_5003_IMG_CS1_5002.png,Masks/IMG_CS1_5003.png,Originals/IMG_CS1_5003.DNG,Exrs/IMG_CS1_5003.exr,Exrs/IMG_CS1_5002.exr,TokenLight/IMG_CS1_5003_IMG_CS1_5002.png,ScribbleLight/IMG_CS1_5003_IMG_CS1_5002.png
45,OFF,8064,6048,Input/IMG_CS1_5011_IMG_CS1_5010_input0.png,Output/IMG_CS1_5011_IMG_CS1_5010.png,Masks/IMG_CS1_5011.png,Originals/IMG_CS1_5011.DNG,Exrs/IMG_CS1_5011.exr,Exrs/IMG_CS1_5010.exr,TokenLight/IMG_CS1_5011_IMG_CS1_5010.png,ScribbleLight/IMG_CS1_5011_IMG_CS1_5010.png
46,OFF,4032,3024,Input/IMG_CS1_4939_IMG_CS1_4938_input0.png,Output/IMG_CS1_4939_IMG_CS1_4938.png,Masks/IMG_CS1_4939.png,Originals/IMG_CS1_4939.DNG,Exrs/IMG_CS1_4939.exr,Exrs/IMG_CS1_4938.exr,TokenLight/IMG_CS1_4939_IMG_CS1_4938.png,ScribbleLight/IMG_CS1_4939_IMG_CS1_4938.png
47,OFF,8064,6048,Input/IMG_CS2_5109_IMG_CS2_5110_input0.png,Output/IMG_CS2_5109_IMG_CS2_5110.png,Masks/IMG_CS2_5109.png,Originals/IMG_CS2_5109.DNG,Exrs/IMG_CS2_5109.exr,Exrs/IMG_CS2_5110.exr,TokenLight/IMG_CS2_5109_IMG_CS2_5110.png,ScribbleLight/IMG_CS2_5109_IMG_CS2_5110.png
48,ON,6048,8064,Input/IMG_CS1_4964_IMG_CS1_4963_input0.png,Output/IMG_CS1_4964_IMG_CS1_4963.png,Masks/IMG_CS1_4963.png,Originals/IMG_CS1_4964.DNG,Exrs/IMG_CS1_4964.exr,Exrs/IMG_CS1_4963.exr,TokenLight/IMG_CS1_4964_IMG_CS1_4963.png,ScribbleLight/IMG_CS1_4964_IMG_CS1_4963.png
49,ON,4032,3024,Input/IMG_CS1_5008_IMG_CS1_5009_input0.png,Output/IMG_CS1_5008_IMG_CS1_5009.png,Masks/IMG_CS1_5009.png,Originals/IMG_CS1_5008.DNG,Exrs/IMG_CS1_5008.exr,Exrs/IMG_CS1_5009.exr,TokenLight/IMG_CS1_5008_IMG_CS1_5009.png,ScribbleLight/IMG_CS1_5008_IMG_CS1_5009.png
50,ON,3024,4032,Input/IMG_CS1_4990_IMG_CS1_4992_input0.png,Output/IMG_CS1_4990_IMG_CS1_4992.png,Masks/IMG_CS1_4992.png,Originals/IMG_CS1_4990.DNG,Exrs/IMG_CS1_4990.exr,Exrs/IMG_CS1_4992.exr,TokenLight/IMG_CS1_4990_IMG_CS1_4992.png,ScribbleLight/IMG_CS1_4990_IMG_CS1_4992.png
51,ON,4032,3024,Input/IMG_CS2_5117_IMG_CS2_5116_input0.png,Output/IMG_CS2_5117_IMG_CS2_5116.png,Masks/IMG_CS2_5116.png,Originals/IMG_CS2_5117.DNG,Exrs/IMG_CS2_5117.exr,Exrs/IMG_CS2_5116.exr,TokenLight/IMG_CS2_5117_IMG_CS2_5116.png,ScribbleLight/IMG_CS2_5117_IMG_CS2_5116.png
52,OFF,8064,6048,Input/IMG_CS1_4957_IMG_CS1_4958_input0.png,Output/IMG_CS1_4957_IMG_CS1_4958.png,Masks/IMG_CS1_4957.png,Originals/IMG_CS1_4957.DNG,Exrs/IMG_CS1_4957.exr,Exrs/IMG_CS1_4958.exr,TokenLight/IMG_CS1_4957_IMG_CS1_4958.png,ScribbleLight/IMG_CS1_4957_IMG_CS1_4958.png
53,OFF,8064,6048,Input/IMG_CS1_5012_IMG_CS1_5010_input0.png,Output/IMG_CS1_5012_IMG_CS1_5010.png,Masks/IMG_CS1_5012.png,Originals/IMG_CS1_5012.DNG,Exrs/IMG_CS1_5012.exr,Exrs/IMG_CS1_5010.exr,TokenLight/IMG_CS1_5012_IMG_CS1_5010.png,ScribbleLight/IMG_CS1_5012_IMG_CS1_5010.png
54,OFF,8064,6048,Input/IMG_CS1_4947_IMG_CS1_4946_input0.png,Output/IMG_CS1_4947_IMG_CS1_4946.png,Masks/IMG_CS1_4947.png,Originals/IMG_CS1_4947.DNG,Exrs/IMG_CS1_4947.exr,Exrs/IMG_CS1_4946.exr,TokenLight/IMG_CS1_4947_IMG_CS1_4946.png,ScribbleLight/IMG_CS1_4947_IMG_CS1_4946.png
55,OFF,8064,6048,Input/IMG_CS2_5112_IMG_CS2_5111_input0.png,Output/IMG_CS2_5112_IMG_CS2_5111.png,Masks/IMG_CS2_5112.png,Originals/IMG_CS2_5112.DNG,Exrs/IMG_CS2_5112.exr,Exrs/IMG_CS2_5111.exr,TokenLight/IMG_CS2_5112_IMG_CS2_5111.png,ScribbleLight/IMG_CS2_5112_IMG_CS2_5111.png
56,ON,8064,6048,Input/IMG_CS1_4959_IMG_CS1_4960_input0.png,Output/IMG_CS1_4959_IMG_CS1_4960.png,Masks/IMG_CS1_4960.png,Originals/IMG_CS1_4959.DNG,Exrs/IMG_CS1_4959.exr,Exrs/IMG_CS1_4960.exr,TokenLight/IMG_CS1_4959_IMG_CS1_4960.png,ScribbleLight/IMG_CS1_4959_IMG_CS1_4960.png
57,ON,8064,6048,Input/IMG_CS1_5006_IMG_CS1_5007_input0.png,Output/IMG_CS1_5006_IMG_CS1_5007.png,Masks/IMG_CS1_5007.png,Originals/IMG_CS1_5006.DNG,Exrs/IMG_CS1_5006.exr,Exrs/IMG_CS1_5007.exr,TokenLight/IMG_CS1_5006_IMG_CS1_5007.png,ScribbleLight/IMG_CS1_5006_IMG_CS1_5007.png
58,ON,8064,6048,Input/IMG_CS2_5085_IMG_CS2_5086_input0.png,Output/IMG_CS2_5085_IMG_CS2_5086.png,Masks/IMG_CS2_5086.png,Originals/IMG_CS2_5085.DNG,Exrs/IMG_CS2_5085.exr,Exrs/IMG_CS2_5086.exr,TokenLight/IMG_CS2_5085_IMG_CS2_5086.png,ScribbleLight/IMG_CS2_5085_IMG_CS2_5086.png
59,ON,4032,3024,Input/IMG_CS2_5117_IMG_CS2_5118_input0.png,Output/IMG_CS2_5117_IMG_CS2_5118.png,Masks/IMG_CS2_5118.png,Originals/IMG_CS2_5117.DNG,Exrs/IMG_CS2_5117.exr,Exrs/IMG_CS2_5118.exr,TokenLight/IMG_CS2_5117_IMG_CS2_5118.png,ScribbleLight/IMG_CS2_5117_IMG_CS2_5118.png
60,OFF,8064,6048,Input/IMG_CS1_4975_IMG_CS1_4974_input0.png,Output/IMG_CS1_4975_IMG_CS1_4974.png,Masks/IMG_CS1_4975.png,Originals/IMG_CS1_4975.DNG,Exrs/IMG_CS1_4975.exr,Exrs/IMG_CS1_4974.exr,TokenLight/IMG_CS1_4975_IMG_CS1_4974.png,ScribbleLight/IMG_CS1_4975_IMG_CS1_4974.png
61,OFF,6048,8064,Input/IMG_CS1_5015_IMG_CS1_5016_input0.png,Output/IMG_CS1_5015_IMG_CS1_5016.png,Masks/IMG_CS1_5015.png,Originals/IMG_CS1_5015.DNG,Exrs/IMG_CS1_5015.exr,Exrs/IMG_CS1_5016.exr,TokenLight/IMG_CS1_5015_IMG_CS1_5016.png,ScribbleLight/IMG_CS1_5015_IMG_CS1_5016.png
62,OFF,3024,4032,Input/IMG_CS1_4988_IMG_CS1_4990_input0.png,Output/IMG_CS1_4988_IMG_CS1_4990.png,Masks/IMG_CS1_4988.png,Originals/IMG_CS1_4988.DNG,Exrs/IMG_CS1_4988.exr,Exrs/IMG_CS1_4990.exr,TokenLight/IMG_CS1_4988_IMG_CS1_4990.png,ScribbleLight/IMG_CS1_4988_IMG_CS1_4990.png
63,OFF,8064,6048,Input/IMG_CS2_5113_IMG_CS2_5114_input0.png,Output/IMG_CS2_5113_IMG_CS2_5114.png,Masks/IMG_CS2_5113.png,Originals/IMG_CS2_5113.DNG,Exrs/IMG_CS2_5113.exr,Exrs/IMG_CS2_5114.exr,TokenLight/IMG_CS2_5113_IMG_CS2_5114.png,ScribbleLight/IMG_CS2_5113_IMG_CS2_5114.png
64,ON,8064,6048,Input/IMG_CS1_4961_IMG_CS1_4962_input0.png,Output/IMG_CS1_4961_IMG_CS1_4962.png,Masks/IMG_CS1_4962.png,Originals/IMG_CS1_4961.DNG,Exrs/IMG_CS1_4961.exr,Exrs/IMG_CS1_4962.exr,TokenLight/IMG_CS1_4961_IMG_CS1_4962.png,ScribbleLight/IMG_CS1_4961_IMG_CS1_4962.png
65,ON,8064,6048,Input/IMG_CS1_5004_IMG_CS1_5005_input0.png,Output/IMG_CS1_5004_IMG_CS1_5005.png,Masks/IMG_CS1_5005.png,Originals/IMG_CS1_5004.DNG,Exrs/IMG_CS1_5004.exr,Exrs/IMG_CS1_5005.exr,TokenLight/IMG_CS1_5004_IMG_CS1_5005.png,ScribbleLight/IMG_CS1_5004_IMG_CS1_5005.png
66,ON,8064,6048,Input/IMG_CS2_5085_IMG_CS2_5087_input0.png,Output/IMG_CS2_5085_IMG_CS2_5087.png,Masks/IMG_CS2_5087.png,Originals/IMG_CS2_5085.DNG,Exrs/IMG_CS2_5085.exr,Exrs/IMG_CS2_5087.exr,TokenLight/IMG_CS2_5085_IMG_CS2_5087.png,ScribbleLight/IMG_CS2_5085_IMG_CS2_5087.png
